Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-DK-en_2022-03-31-20211-M83	ParlaMint-DK_20220331100003	Hansard of the session of the Danish Parliament (Folketinget), 20211, M83 (2022-03-31), preliminary version	2022-03-31	Unicameralism	Regeringen Mette Frederiksen	20211	M83	-	-	COVID,War	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	Education
ParlaMint-DK-en_2022-03-31-20211-M83	ParlaMint-DK_20220331100026	Hansard of the session of the Danish Parliament (Folketinget), 20211, M83 (2022-03-31), preliminary version	2022-03-31	Unicameralism	Regeringen Mette Frederiksen	20211	M83	-	-	COVID,War	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	Other
ParlaMint-DK-en_2022-03-31-20211-M83	ParlaMint-DK_20220331100042	Hansard of the session of the Danish Parliament (Folketinget), 20211, M83 (2022-03-31), preliminary version	2022-03-31	Unicameralism	Regeringen Mette Frederiksen	20211	M83	-	-	COVID,War	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	Other
ParlaMint-DK-en_2022-03-31-20211-M83	ParlaMint-DK_20220331100111	Hansard of the session of the Danish Parliament (Folketinget), 20211, M83 (2022-03-31), preliminary version	2022-03-31	Unicameralism	Regeringen Mette Frederiksen	20211	M83	-	-	COVID,War	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	Other
ParlaMint-DK-en_2022-03-31-20211-M83	ParlaMint-DK_20220331100134	Hansard of the session of the Danish Parliament (Folketinget), 20211, M83 (2022-03-31), preliminary version	2022-03-31	Unicameralism	Regeringen Mette Frederiksen	20211	M83	-	-	COVID,War	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	Other
