Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-DK-en_2022-03-14-20211-M73	ParlaMint-DK_20220314130001	Hansard of the session of the Danish Parliament (Folketinget), 20211, M73 (2022-03-14), preliminary version	2022-03-14	Unicameralism	Regeringen Mette Frederiksen	20211	M73	-	-	COVID,War	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	Other
ParlaMint-DK-en_2022-03-14-20211-M73	ParlaMint-DK_20220314130004	Hansard of the session of the Danish Parliament (Folketinget), 20211, M73 (2022-03-14), preliminary version	2022-03-14	Unicameralism	Regeringen Mette Frederiksen	20211	M73	-	-	COVID,War	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	Immigration
ParlaMint-DK-en_2022-03-14-20211-M73	ParlaMint-DK_20220314130035	Hansard of the session of the Danish Parliament (Folketinget), 20211, M73 (2022-03-14), preliminary version	2022-03-14	Unicameralism	Regeringen Mette Frederiksen	20211	M73	-	-	COVID,War	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	Other
